,time,longitude,latitude,u10,t2m,sp,tp,swvl1
52,2021-01-03 04:00:00,45.0,46.0,-0.0885334,273.53296,102754.19,5.686283e-05,0.3336354
53,2021-01-03 05:00:00,45.0,46.0,-0.28588593,273.4521,102830.34,9.4179064e-05,0.3335085
54,2021-01-03 06:00:00,45.0,46.0,-0.55575407,273.8634,102886.734,0.000110171735,0.3332201
55,2021-01-03 07:00:00,45.0,46.0,-1.7288541,274.43762,102932.07,0.00015459582,0.33349696
56,2021-01-03 08:00:00,45.0,46.0,-1.6517488,274.8732,102964.625,0.00016170368,0.3336354
57,2021-01-03 09:00:00,45.0,46.0,-1.5645467,275.4613,102946.02,0.00016703457,0.33398148
58,2021-01-03 10:00:00,45.0,46.0,-1.6067709,275.57104,102925.68,0.0001705885,0.33416608
59,2021-01-03 11:00:00,45.0,46.0,-1.8541499,275.53986,102893.125,0.0001705885,0.33413148
60,2021-01-03 12:00:00,45.0,46.0,-2.215351,275.43124,102957.66,0.00018658116,0.33409685
61,2021-01-03 13:00:00,45.0,46.0,-2.0400286,274.99338,102955.91,0.00019546226,0.33379692
62,2021-01-03 14:00:00,45.0,46.0,-2.0638943,274.47345,103021.016,0.00019901618,0.33335853
63,2021-01-03 15:00:00,45.0,46.0,-2.4544687,274.29434,103019.85,0.000207901,0.33302397
64,2021-01-03 16:00:00,45.0,46.0,-2.8946104,274.1372,103062.29,0.00027009472,0.33308166
65,2021-01-03 17:00:00,45.0,46.0,-2.9822717,273.868,103071.59,0.0003447272,0.33320856
66,2021-01-03 18:00:00,45.0,46.0,-2.8390765,273.56067,103073.336,0.0003784895,0.33292013
67,2021-01-03 19:00:00,45.0,46.0,-3.0419364,273.102,103058.805,0.0003980361,0.33245867
68,2021-01-03 20:00:00,45.0,46.0,-2.8762522,273.17017,103090.77,0.00041047484,0.33203185
69,2021-01-03 21:00:00,45.0,46.0,-3.1709042,273.0396,103091.94,0.0004317984,0.33161652
70,2021-01-03 22:00:00,45.0,46.0,-3.2126694,272.56937,103075.08,0.0004460141,0.331282
71,2021-01-03 23:00:00,45.0,46.0,-3.2342405,272.61096,103065.78,0.00048866123,0.3309013
72,2021-01-04 00:00:00,45.0,46.0,-3.44169,272.50696,103041.36,0.0005011,0.33050904
73,2021-01-04 01:00:00,45.0,46.0,-3.7652564,272.39606,103038.45,3.553927e-06,0.33010527
74,2021-01-04 02:00:00,45.0,46.0,-3.8607202,272.28284,103026.83,1.2438744e-05,0.32974765
75,2021-01-04 03:00:00,45.0,46.0,-3.7175245,271.96857,103051.24,2.3100525e-05,0.32935542
76,2021-01-04 04:00:00,45.0,46.0,-3.6973305,271.942,103056.48,2.8431416e-05,0.32900932
77,2021-01-04 05:00:00,45.0,46.0,-3.7854505,272.0691,103080.31,3.9093196e-05,0.32864016
78,2021-01-04 06:00:00,45.0,46.0,-4.5037217,272.49426,103105.89,4.620105e-05,0.32828254
79,2021-01-04 07:00:00,45.0,46.0,-4.8722663,272.96796,103164.6,5.5085868e-05,0.32791337
80,2021-01-04 08:00:00,45.0,46.0,-4.997103,273.3689,103139.02,6.219372e-05,0.32755575
81,2021-01-04 09:00:00,45.0,46.0,-5.0820107,273.74094,103062.29,6.574765e-05,0.3272558
82,2021-01-04 10:00:00,45.0,46.0,-5.152231,274.0725,102997.766,6.752461e-05,0.32703662
83,2021-01-04 11:00:00,45.0,46.0,-5.4349504,274.33365,102953.0,6.752461e-05,0.32679433
84,2021-01-04 12:00:00,45.0,46.0,-5.688296,274.41452,102941.95,6.752461e-05,0.3264598
85,2021-01-04 13:00:00,45.0,46.0,-5.4372454,274.32092,102919.28,6.752461e-05,0.32606757
86,2021-01-04 14:00:00,45.0,46.0,-5.127907,273.8114,102915.8,6.752461e-05,0.32570994
87,2021-01-04 15:00:00,45.0,46.0,-5.1710486,273.35272,102906.49,6.9301575e-05,0.32537538
88,2021-01-04 16:00:00,45.0,46.0,-5.2330084,272.7727,102907.08,9.062514e-05,0.32508695
89,2021-01-04 17:00:00,45.0,46.0,-5.35142,272.4388,102873.36,9.773299e-05,0.32478702
90,2021-01-04 18:00:00,45.0,46.0,-5.192161,271.81488,102857.08,0.000104840845,0.3244986
91,2021-01-04 19:00:00,45.0,46.0,-5.067783,271.2869,102840.805,0.000115502626,0.32422173
92,2021-01-04 20:00:00,45.0,46.0,-5.044835,270.76004,102849.52,0.00012794137,0.3239564
93,2021-01-04 21:00:00,45.0,46.0,-5.1150556,270.41342,102805.92,0.00013504922,0.3237026
94,2021-01-04 22:00:00,45.0,46.0,-5.2550383,270.19968,102767.56,0.00013682619,0.3234257
95,2021-01-04 23:00:00,45.0,46.0,-5.336274,269.95242,102701.29,0.00013860315,0.32318348
96,2021-01-05 00:00:00,45.0,46.0,-5.3863006,269.80566,102647.805,0.00014038011,0.32291812
97,2021-01-05 01:00:00,45.0,46.0,-5.4106255,269.64508,102597.23,1.7769635e-06,0.32267585
98,2021-01-05 02:00:00,45.0,46.0,-5.4312787,269.61505,102567.58,1.7769635e-06,0.32242206
99,2021-01-05 03:00:00,45.0,46.0,-5.442753,269.5411,102548.98,1.7769635e-06,0.3221798
100,2021-01-05 04:00:00,45.0,46.0,-5.6726913,269.87384,102537.94,1.7769635e-06,0.32191446
101,2021-01-05 05:00:00,45.0,46.0,-5.9448543,270.2759,102526.89,3.553927e-06,0.32166067
102,2021-01-05 06:00:00,45.0,46.0,-5.4551444,270.98648,102514.1,3.553927e-06,0.32139534
103,2021-01-05 07:00:00,45.0,46.0,-6.241801,271.97433,102522.82,1.5992671e-05,0.32114154
104,2021-01-05 08:00:00,45.0,46.0,-7.343303,273.69586,102484.45,1.9546598e-05,0.32093388
105,2021-01-05 09:00:00,45.0,46.0,-7.6062865,275.28683,102387.375,1.9546598e-05,0.32083005
